(Sittin' On) The Dock Of The Bay,,,,,,,,,,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,,,,,,,
 1_maj , 5_maj , 0:maj , 3_maj ,,,,,,,,,,,,,
 1_maj , 5_maj , 0:maj , 3_maj ,,,,,,,,,,,,,
 1_maj , 10_min(9) , 1_maj , 10_min(9) ,,,,,,,,,,,,,
 1_maj , 3_maj , 1_maj , 10_maj ,,,,,,,,,,,,,
 1_maj , 5_maj , 0:maj , 3_maj ,,,,,,,,,,,,,
 1_maj , 5_maj , 0:maj , 3_maj ,,,,,,,,,,,,,
 1_maj , 10_min(9) , 1_maj , 10_min(9) ,,,,,,,,,,,,,
 1_maj , 3_maj , 1_maj , 10_maj ,,,,,,,,,,,,,
 1_maj 8_maj , 0:maj , 1_maj 8_maj , 0:maj ,,,,,,,,,,,,,
 1_maj 8_maj , 0:maj 1_maj , 11_maj , 8_maj ,,,,,,,,,,,,,
 1_maj , 5_maj , 0:maj , 3_maj ,,,,,,,,,,,,,
 1_maj , 5_maj , 0:maj , 3_maj ,,,,,,,,,,,,,
 1_maj , 10_min(9) , 1_maj , 10_min(9) ,,,,,,,,,,,,,
 1_maj , 3_maj , 1_maj , 10_maj ,,,,,,,,,,,,,
 1_maj , 1_maj , 1_maj , 10_min ,,,,,,,,,,,,,
 1_maj , 1_maj , 1_maj , 10_min ,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,
He's So Fine,,,,,,,,,,,,,,,,
 3_min7 , 8_maj , 3_min7 , 8_maj ,,,,,,,,,,,,,
 3_min7 , 8_maj , 3_min7 , 8_maj ,,,,,,,,,,,,,
 3_min7 , 8_maj , 3_min7 , 8_maj ,,,,,,,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,,,,,,,
 3_min7 , 8_maj , 3_min7 , 8_maj ,,,,,,,,,,,,,
 3_min7 , 8_maj , 3_min7 , 8_maj ,,,,,,,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,,,,,,,
 0:maj , 0:maj , 0:maj , 0:maj ,,,,,,,,,,,,,
 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,,,,,,,
 0:maj , 0:maj , 0:maj , 0:maj ,,,,,,,,,,,,,
 8_7 , 8_7 , 8_7 , 8_7 ,,,,,,,,,,,,,
 3_min7 , 8_maj , 3_min7 , 8_maj ,,,,,,,,,,,,,
 3_min7 , 8_maj , 3_min7 , 8_maj ,,,,,,,,,,,,,
 1_maj , 10_min , 1_maj , 10_min ,,,,,,,,,,,,,
 1_maj , 10_min , 1_maj , 10_min ,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,
Sugar Shack,,,,,,,,,,,,,,,,
